timestamp,protocol,loss_rate_pct,trial,fw_size_bytes,total_time_sec,tx_frames,rx_frames,total_frames,retransmit_frames,overhead_pct,status
2026-05-24 05:25:50,Custom,0.00000,1,65536,51.086,9474,258,9732,0,0.00,OK
2026-05-24 05:26:45,Custom,0.00000,2,65536,51.070,9474,258,9732,0,0.00,OK
2026-05-24 05:27:41,Custom,0.00000,3,65536,51.113,9474,258,9732,0,0.00,OK
2026-05-24 05:28:37,Custom,0.00000,4,65536,51.078,9474,258,9732,0,0.00,OK
2026-05-24 05:29:33,Custom,0.00000,5,65536,51.152,9474,258,9732,0,0.00,OK
2026-05-24 05:30:29,Custom,0.00000,6,65536,51.096,9474,258,9732,0,0.00,OK
2026-05-24 05:31:24,Custom,0.00000,7,65536,51.131,9474,258,9732,0,0.00,OK
2026-05-24 05:32:20,Custom,0.00000,8,65536,51.068,9474,258,9732,0,0.00,OK
2026-05-24 05:33:16,Custom,0.00000,9,65536,51.103,9474,258,9732,0,0.00,OK
2026-05-24 05:34:12,Custom,0.00000,10,65536,51.086,9474,258,9732,0,0.00,OK
2026-05-24 05:35:08,Custom,0.01000,1,65536,51.225,9475,259,9734,1,0.01,OK
2026-05-24 05:36:03,Custom,0.01000,2,65536,51.134,9475,259,9734,1,0.01,OK
2026-05-24 05:36:59,Custom,0.01000,3,65536,51.197,9476,260,9736,2,0.02,OK
2026-05-24 05:37:55,Custom,0.01000,4,65536,51.182,9474,258,9732,0,0.00,OK
2026-05-24 05:38:51,Custom,0.01000,5,65536,51.200,9474,258,9732,0,0.00,OK
2026-05-24 05:39:47,Custom,0.01000,6,65536,51.168,9475,259,9734,1,0.01,OK
2026-05-24 05:40:43,Custom,0.01000,7,65536,51.171,9475,259,9734,1,0.01,OK
2026-05-24 05:41:39,Custom,0.01000,8,65536,51.174,9474,258,9732,0,0.00,OK
2026-05-24 05:42:34,Custom,0.01000,9,65536,51.175,9474,258,9732,0,0.00,OK
2026-05-24 05:43:30,Custom,0.01000,10,65536,51.205,9475,259,9734,1,0.01,OK
2026-05-24 05:44:27,Custom,0.05000,1,65536,51.482,9480,262,9742,6,0.06,OK
2026-05-24 05:45:22,Custom,0.05000,2,65536,51.240,9482,266,9748,8,0.08,OK
2026-05-24 05:46:18,Custom,0.05000,3,65536,51.127,9478,262,9740,4,0.04,OK
2026-05-24 05:47:14,Custom,0.05000,4,65536,51.167,9476,260,9736,2,0.02,OK
2026-05-24 05:48:10,Custom,0.05000,5,65536,51.191,9478,262,9740,4,0.04,OK
2026-05-24 05:49:06,Custom,0.05000,6,65536,51.215,9477,261,9738,3,0.03,OK
2026-05-24 05:50:02,Custom,0.05000,7,65536,51.174,9477,261,9738,3,0.03,OK
2026-05-24 05:50:58,Custom,0.05000,8,65536,51.192,9480,264,9744,6,0.06,OK
2026-05-24 05:51:53,Custom,0.05000,9,65536,51.186,9484,268,9752,10,0.11,OK
2026-05-24 05:52:49,Custom,0.05000,10,65536,51.232,9478,262,9740,4,0.04,OK
2026-05-24 05:53:45,Custom,0.10000,1,65536,51.151,9481,265,9746,7,0.07,OK
2026-05-24 05:54:41,Custom,0.10000,2,65536,51.184,9481,265,9746,7,0.07,OK
2026-05-24 05:55:37,Custom,0.10000,3,65536,51.220,9486,270,9756,12,0.13,OK
2026-05-24 05:56:33,Custom,0.10000,4,65536,51.208,9484,268,9752,10,0.11,OK
2026-05-24 05:57:29,Custom,0.10000,5,65536,51.358,9482,265,9747,8,0.08,OK
2026-05-24 05:58:25,Custom,0.10000,6,65536,51.200,9479,263,9742,5,0.05,OK
2026-05-24 05:59:21,Custom,0.10000,7,65536,51.338,9486,269,9755,12,0.13,OK
2026-05-24 06:00:17,Custom,0.10000,8,65536,51.206,9490,274,9764,16,0.17,OK
2026-05-24 06:01:12,Custom,0.10000,9,65536,51.210,9488,272,9760,14,0.15,OK
2026-05-24 06:02:08,Custom,0.10000,10,65536,51.205,9486,270,9756,12,0.13,OK
